Company,Type,Plan,Age,Rate
Americo Financial Life and Annuity Insurance Company,NA,F HD,81,NA
Americo Financial Life and Annuity Insurance Company,NA,F HD,82,NA
Americo Financial Life and Annuity Insurance Company,NA,F HD,83,NA
Americo Financial Life and Annuity Insurance Company,NA,F HD,84,NA
Americo Financial Life and Annuity Insurance Company,NA,F HD,85,NA
Americo Financial Life and Annuity Insurance Company,NA,F HD,86,NA
Americo Financial Life and Annuity Insurance Company,NA,F HD,87,NA
Americo Financial Life and Annuity Insurance Company,NA,F HD,88,NA
Americo Financial Life and Annuity Insurance Company,NA,F HD,89,NA
Americo Financial Life and Annuity Insurance Company,NA,F HD,90,NA
Americo Financial Life and Annuity Insurance Company,NA,F HD,91,NA
Americo Financial Life and Annuity Insurance Company,NA,F HD,92,NA
Americo Financial Life and Annuity Insurance Company,NA,F HD,93,NA
Americo Financial Life and Annuity Insurance Company,NA,F HD,94,NA
Americo Financial Life and Annuity Insurance Company,NA,F HD,95,NA
Americo Financial Life and Annuity Insurance Company,NA,F HD,96,NA
Americo Financial Life and Annuity Insurance Company,NA,F HD,97,NA
Americo Financial Life and Annuity Insurance Company,NA,F HD,98,NA
Americo Financial Life and Annuity Insurance Company,NA,F HD,99+,NA
Americo Financial Life and Annuity Insurance Company,AA,G,> 65,4842
Americo Financial Life and Annuity Insurance Company,AA,G,65,1686
Americo Financial Life and Annuity Insurance Company,AA,G,66,1686
Americo Financial Life and Annuity Insurance Company,AA,G,67,1686
Americo Financial Life and Annuity Insurance Company,AA,G,68,1686
Americo Financial Life and Annuity Insurance Company,AA,G,69,1759
Americo Financial Life and Annuity Insurance Company,AA,G,70,1827
Americo Financial Life and Annuity Insurance Company,AA,G,71,1890
Americo Financial Life and Annuity Insurance Company,AA,G,72,1959
Americo Financial Life and Annuity Insurance Company,AA,G,73,2025
Americo Financial Life and Annuity Insurance Company,AA,G,74,2091
Americo Financial Life and Annuity Insurance Company,AA,G,75,2158
Americo Financial Life and Annuity Insurance Company,AA,G,76,2215
Americo Financial Life and Annuity Insurance Company,AA,G,77,2274
Americo Financial Life and Annuity Insurance Company,AA,G,78,2335
Americo Financial Life and Annuity Insurance Company,AA,G,79,2394
Americo Financial Life and Annuity Insurance Company,AA,G,80,2457
Americo Financial Life and Annuity Insurance Company,AA,G,81,2519
Americo Financial Life and Annuity Insurance Company,AA,G,82,2584
Americo Financial Life and Annuity Insurance Company,AA,G,83,2649
Americo Financial Life and Annuity Insurance Company,AA,G,84,2714
Americo Financial Life and Annuity Insurance Company,AA,G,85,2781
Americo Financial Life and Annuity Insurance Company,AA,G,86,2841
Americo Financial Life and Annuity Insurance Company,AA,G,87,2903
Americo Financial Life and Annuity Insurance Company,AA,G,88,2893
Americo Financial Life and Annuity Insurance Company,AA,G,89,3027
Americo Financial Life and Annuity Insurance Company,AA,G,90,3088
Americo Financial Life and Annuity Insurance Company,AA,G,91,3138
Americo Financial Life and Annuity Insurance Company,AA,G,92,3187
Americo Financial Life and Annuity Insurance Company,AA,G,93,3235
Americo Financial Life and Annuity Insurance Company,AA,G,94,3282
Americo Financial Life and Annuity Insurance Company,AA,G,95,3330
Americo Financial Life and Annuity Insurance Company,AA,G,96,3364
Americo Financial Life and Annuity Insurance Company,AA,G,97,3397
Americo Financial Life and Annuity Insurance Company,AA,G,98,3431
Americo Financial Life and Annuity Insurance Company,AA,G,99+,3466
Americo Financial Life and Annuity Insurance Company,NA,G HD,> 65,NA
Americo Financial Life and Annuity Insurance Company,NA,G HD,65,NA
Americo Financial Life and Annuity Insurance Company,NA,G HD,66,NA
Americo Financial Life and Annuity Insurance Company,NA,G HD,67,NA
Americo Financial Life and Annuity Insurance Company,NA,G HD,68,NA
Americo Financial Life and Annuity Insurance Company,NA,G HD,69,NA
Americo Financial Life and Annuity Insurance Company,NA,G HD,70,NA
Americo Financial Life and Annuity Insurance Company,NA,G HD,71,NA
Americo Financial Life and Annuity Insurance Company,NA,G HD,72,NA
Americo Financial Life and Annuity Insurance Company,NA,G HD,73,NA
Americo Financial Life and Annuity Insurance Company,NA,G HD,74,NA
Americo Financial Life and Annuity Insurance Company,NA,G HD,75,NA
Americo Financial Life and Annuity Insurance Company,NA,G HD,76,NA
Americo Financial Life and Annuity Insurance Company,NA,G HD,77,NA
Americo Financial Life and Annuity Insurance Company,NA,G HD,78,NA
Americo Financial Life and Annuity Insurance Company,NA,G HD,79,NA
Americo Financial Life and Annuity Insurance Company,NA,G HD,80,NA
Americo Financial Life and Annuity Insurance Company,NA,G HD,81,NA
Americo Financial Life and Annuity Insurance Company,NA,G HD,82,NA
Americo Financial Life and Annuity Insurance Company,NA,G HD,83,NA
Americo Financial Life and Annuity Insurance Company,NA,G HD,84,NA
Americo Financial Life and Annuity Insurance Company,NA,G HD,85,NA
Americo Financial Life and Annuity Insurance Company,NA,G HD,86,NA
Americo Financial Life and Annuity Insurance Company,NA,G HD,87,NA
Americo Financial Life and Annuity Insurance Company,NA,G HD,88,NA
Americo Financial Life and Annuity Insurance Company,NA,G HD,89,NA
Americo Financial Life and Annuity Insurance Company,NA,G HD,90,NA
Americo Financial Life and Annuity Insurance Company,NA,G HD,91,NA
Americo Financial Life and Annuity Insurance Company,NA,G HD,92,NA
Americo Financial Life and Annuity Insurance Company,NA,G HD,93,NA
Americo Financial Life and Annuity Insurance Company,NA,G HD,94,NA
Americo Financial Life and Annuity Insurance Company,NA,G HD,95,NA
Americo Financial Life and Annuity Insurance Company,NA,G HD,96,NA
Americo Financial Life and Annuity Insurance Company,NA,G HD,97,NA
Americo Financial Life and Annuity Insurance Company,NA,G HD,98,NA
Americo Financial Life and Annuity Insurance Company,NA,G HD,99+,NA
Americo Financial Life and Annuity Insurance Company,NA,K,> 65,NA
Americo Financial Life and Annuity Insurance Company,NA,K,65,NA
Americo Financial Life and Annuity Insurance Company,NA,K,66,NA
Americo Financial Life and Annuity Insurance Company,NA,K,67,NA
Americo Financial Life and Annuity Insurance Company,NA,K,68,NA
Americo Financial Life and Annuity Insurance Company,NA,K,69,NA
Americo Financial Life and Annuity Insurance Company,NA,K,70,NA
Americo Financial Life and Annuity Insurance Company,NA,K,71,NA
Americo Financial Life and Annuity Insurance Company,NA,K,72,NA
Americo Financial Life and Annuity Insurance Company,NA,K,73,NA
Americo Financial Life and Annuity Insurance Company,NA,K,74,NA
Americo Financial Life and Annuity Insurance Company,NA,K,75,NA
Americo Financial Life and Annuity Insurance Company,NA,K,76,NA
Americo Financial Life and Annuity Insurance Company,NA,K,77,NA
Americo Financial Life and Annuity Insurance Company,NA,K,78,NA
Americo Financial Life and Annuity Insurance Company,NA,K,79,NA
Americo Financial Life and Annuity Insurance Company,NA,K,80,NA
Americo Financial Life and Annuity Insurance Company,NA,K,81,NA
Americo Financial Life and Annuity Insurance Company,NA,K,82,NA
Americo Financial Life and Annuity Insurance Company,NA,K,83,NA
Americo Financial Life and Annuity Insurance Company,NA,K,84,NA
Americo Financial Life and Annuity Insurance Company,NA,K,85,NA
Americo Financial Life and Annuity Insurance Company,NA,K,86,NA
Americo Financial Life and Annuity Insurance Company,NA,K,87,NA
Americo Financial Life and Annuity Insurance Company,NA,K,88,NA
Americo Financial Life and Annuity Insurance Company,NA,K,89,NA
Americo Financial Life and Annuity Insurance Company,NA,K,90,NA
Americo Financial Life and Annuity Insurance Company,NA,K,91,NA
Americo Financial Life and Annuity Insurance Company,NA,K,92,NA
Americo Financial Life and Annuity Insurance Company,NA,K,93,NA
Americo Financial Life and Annuity Insurance Company,NA,K,94,NA
Americo Financial Life and Annuity Insurance Company,NA,K,95,NA
Americo Financial Life and Annuity Insurance Company,NA,K,96,NA
Americo Financial Life and Annuity Insurance Company,NA,K,97,NA
Americo Financial Life and Annuity Insurance Company,NA,K,98,NA
Americo Financial Life and Annuity Insurance Company,NA,K,99+,NA
Americo Financial Life and Annuity Insurance Company,NA,L,> 65,NA
Americo Financial Life and Annuity Insurance Company,NA,L,65,NA
Americo Financial Life and Annuity Insurance Company,NA,L,66,NA
Americo Financial Life and Annuity Insurance Company,NA,L,67,NA
Americo Financial Life and Annuity Insurance Company,NA,L,68,NA
Americo Financial Life and Annuity Insurance Company,NA,L,69,NA
Americo Financial Life and Annuity Insurance Company,NA,L,70,NA
Americo Financial Life and Annuity Insurance Company,NA,L,71,NA
Americo Financial Life and Annuity Insurance Company,NA,L,72,NA
Americo Financial Life and Annuity Insurance Company,NA,L,73,NA
Americo Financial Life and Annuity Insurance Company,NA,L,74,NA
Americo Financial Life and Annuity Insurance Company,NA,L,75,NA
Americo Financial Life and Annuity Insurance Company,NA,L,76,NA
Americo Financial Life and Annuity Insurance Company,NA,L,77,NA
Americo Financial Life and Annuity Insurance Company,NA,L,78,NA
Americo Financial Life and Annuity Insurance Company,NA,L,79,NA
Americo Financial Life and Annuity Insurance Company,NA,L,80,NA
Americo Financial Life and Annuity Insurance Company,NA,L,81,NA
Americo Financial Life and Annuity Insurance Company,NA,L,82,NA
Americo Financial Life and Annuity Insurance Company,NA,L,83,NA
Americo Financial Life and Annuity Insurance Company,NA,L,84,NA
Americo Financial Life and Annuity Insurance Company,NA,L,85,NA
Americo Financial Life and Annuity Insurance Company,NA,L,86,NA
Americo Financial Life and Annuity Insurance Company,NA,L,87,NA
Americo Financial Life and Annuity Insurance Company,NA,L,88,NA
Americo Financial Life and Annuity Insurance Company,NA,L,89,NA
Americo Financial Life and Annuity Insurance Company,NA,L,90,NA
Americo Financial Life and Annuity Insurance Company,NA,L,91,NA
Americo Financial Life and Annuity Insurance Company,NA,L,92,NA
Americo Financial Life and Annuity Insurance Company,NA,L,93,NA
Americo Financial Life and Annuity Insurance Company,NA,L,94,NA
Americo Financial Life and Annuity Insurance Company,NA,L,95,NA
Americo Financial Life and Annuity Insurance Company,NA,L,96,NA
Americo Financial Life and Annuity Insurance Company,NA,L,97,NA
Americo Financial Life and Annuity Insurance Company,NA,L,98,NA
Americo Financial Life and Annuity Insurance Company,NA,L,99+,NA
Americo Financial Life and Annuity Insurance Company,NA,M,> 65,NA
Americo Financial Life and Annuity Insurance Company,NA,M,65,NA
Americo Financial Life and Annuity Insurance Company,NA,M,66,NA
Americo Financial Life and Annuity Insurance Company,NA,M,67,NA
Americo Financial Life and Annuity Insurance Company,NA,M,68,NA
Americo Financial Life and Annuity Insurance Company,NA,M,69,NA
Americo Financial Life and Annuity Insurance Company,NA,M,70,NA
Americo Financial Life and Annuity Insurance Company,NA,M,71,NA
Americo Financial Life and Annuity Insurance Company,NA,M,72,NA
Americo Financial Life and Annuity Insurance Company,NA,M,73,NA
Americo Financial Life and Annuity Insurance Company,NA,M,74,NA
Americo Financial Life and Annuity Insurance Company,NA,M,75,NA
Americo Financial Life and Annuity Insurance Company,NA,M,76,NA
Americo Financial Life and Annuity Insurance Company,NA,M,77,NA
Americo Financial Life and Annuity Insurance Company,NA,M,78,NA
Americo Financial Life and Annuity Insurance Company,NA,M,79,NA
Americo Financial Life and Annuity Insurance Company,NA,M,80,NA
Americo Financial Life and Annuity Insurance Company,NA,M,81,NA
Americo Financial Life and Annuity Insurance Company,NA,M,82,NA
Americo Financial Life and Annuity Insurance Company,NA,M,83,NA
Americo Financial Life and Annuity Insurance Company,NA,M,84,NA
Americo Financial Life and Annuity Insurance Company,NA,M,85,NA
Americo Financial Life and Annuity Insurance Company,NA,M,86,NA
Americo Financial Life and Annuity Insurance Company,NA,M,87,NA
Americo Financial Life and Annuity Insurance Company,NA,M,88,NA
Americo Financial Life and Annuity Insurance Company,NA,M,89,NA
Americo Financial Life and Annuity Insurance Company,NA,M,90,NA
Americo Financial Life and Annuity Insurance Company,NA,M,91,NA
Americo Financial Life and Annuity Insurance Company,NA,M,92,NA
Americo Financial Life and Annuity Insurance Company,NA,M,93,NA
Americo Financial Life and Annuity Insurance Company,NA,M,94,NA
Americo Financial Life and Annuity Insurance Company,NA,M,95,NA
Americo Financial Life and Annuity Insurance Company,NA,M,96,NA
Americo Financial Life and Annuity Insurance Company,NA,M,97,NA
Americo Financial Life and Annuity Insurance Company,NA,M,98,NA
Americo Financial Life and Annuity Insurance Company,NA,M,99+,NA
Americo Financial Life and Annuity Insurance Company,AA,N,> 65,3784
Americo Financial Life and Annuity Insurance Company,AA,N,65,1316
Americo Financial Life and Annuity Insurance Company,AA,N,66,1316
Americo Financial Life and Annuity Insurance Company,AA,N,67,1316
Americo Financial Life and Annuity Insurance Company,AA,N,68,1316
Americo Financial Life and Annuity Insurance Company,AA,N,69,1371
Americo Financial Life and Annuity Insurance Company,AA,N,70,1423
Americo Financial Life and Annuity Insurance Company,AA,N,71,1475
Americo Financial Life and Annuity Insurance Company,AA,N,72,1527
Americo Financial Life and Annuity Insurance Company,AA,N,73,1579
Americo Financial Life and Annuity Insurance Company,AA,N,74,1631
Americo Financial Life and Annuity Insurance Company,AA,N,75,1684
Americo Financial Life and Annuity Insurance Company,AA,N,76,1732
Americo Financial Life and Annuity Insurance Company,AA,N,77,1781
Americo Financial Life and Annuity Insurance Company,AA,N,78,1831
Americo Financial Life and Annuity Insurance Company,AA,N,79,1881
Americo Financial Life and Annuity Insurance Company,AA,N,80,1933
Americo Financial Life and Annuity Insurance Company,AA,N,81,1987
Americo Financial Life and Annuity Insurance Company,AA,N,82,2043
Americo Financial Life and Annuity Insurance Company,AA,N,83,2100
Americo Financial Life and Annuity Insurance Company,AA,N,84,2157
Americo Financial Life and Annuity Insurance Company,AA,N,85,2215
Americo Financial Life and Annuity Insurance Company,AA,N,86,2268
Americo Financial Life and Annuity Insurance Company,AA,N,87,2321
Americo Financial Life and Annuity Insurance Company,AA,N,88,2376
Americo Financial Life and Annuity Insurance Company,AA,N,89,2429
Americo Financial Life and Annuity Insurance Company,AA,N,90,2483
Americo Financial Life and Annuity Insurance Company,AA,N,91,2527
Americo Financial Life and Annuity Insurance Company,AA,N,92,2572
Americo Financial Life and Annuity Insurance Company,AA,N,93,2615
Americo Financial Life and Annuity Insurance Company,AA,N,94,2658
Americo Financial Life and Annuity Insurance Company,AA,N,95,2702
Americo Financial Life and Annuity Insurance Company,AA,N,96,2729
Americo Financial Life and Annuity Insurance Company,AA,N,97,2757
Americo Financial Life and Annuity Insurance Company,AA,N,98,2784
Americo Financial Life and Annuity Insurance Company,AA,N,99+,2812
Assured Life Association,AA,A,> 65,441.2
Assured Life Association,AA,A,65,149.96
Assured Life Association,AA,A,66,149.96
Assured Life Association,AA,A,67,156.64
Assured Life Association,AA,A,68,161.78
Assured Life Association,AA,A,69,166.79
Assured Life Association,AA,A,70,171.54
Assured Life Association,AA,A,71,176.03
Assured Life Association,AA,A,72,180.32
Assured Life Association,AA,A,73,184.11
Assured Life Association,AA,A,74,187.43
Assured Life Association,AA,A,75,190.27
Assured Life Association,AA,A,76,192.94
Assured Life Association,AA,A,77,195.46
Assured Life Association,AA,A,78,197.79
Assured Life Association,AA,A,79,199.98
Assured Life Association,AA,A,80,202.19
Assured Life Association,AA,A,81,204.21
Assured Life Association,AA,A,82,206.1
Assured Life Association,AA,A,83,207.83
Assured Life Association,AA,A,84,209.4
Assured Life Association,AA,A,85,210.87
Assured Life Association,AA,A,86,212.3
Assured Life Association,AA,A,87,213.75
Assured Life Association,AA,A,88,215.21
Assured Life Association,AA,A,89,216.72
Assured Life Association,AA,A,90,218.24
Assured Life Association,AA,A,91,219.78
Assured Life Association,AA,A,92,221.38
Assured Life Association,AA,A,93,223
Assured Life Association,AA,A,94,224.69
Assured Life Association,AA,A,95,226.32
Assured Life Association,AA,A,96,227.95
Assured Life Association,AA,A,97,229.39
Assured Life Association,AA,A,98,230.85
Assured Life Association,AA,A,99+,232.24
Assured Life Association,AA,B,> 65,514.27
Assured Life Association,AA,B,65,173.17
Assured Life Association,AA,B,66,173.17
Assured Life Association,AA,B,67,180.52
Assured Life Association,AA,B,68,186.33
Assured Life Association,AA,B,69,192.37
Assured Life Association,AA,B,70,198.15
